faceH_raw,faceW_raw,jawW_raw,jawLowerW_raw,chinSideW_raw,icd_raw,faceAspectRatio_raw,faceAspectRatio,faceTaperRatio,upperFaceRatio,midFaceRatio,lowerFaceRatio,lowerFaceFullness,fullnessMin,fullnessSlope,taperJawLower,taperChinSide,widthSignature,verticalBalance,gonialAngle,label,subject,imgW,imgH,widthScore
0.21637903666890568,0.264980351733084,0.22137456921215998,0.15989405585912878,0.05328540893608925,0.06383048490645386,0.8165852118985235,1.1995228470183361,0.8354376759041805,0.2690255661544653,0.29311190279344596,0.4379143925397937,0.5466493788001138,0.20109192469396336,0.6343457512102172,0.6034185358021973,0.20109192469396336,0.5448291778729976,-0.16888882638532837,136.92595304350925,wide,김민경,1000,1399,16.39944989135091
0.6516221253975119,0.40007566484631846,0.3205670368976443,0.2190259893262413,0.06809358612212284,0.09382427014887267,1.6287472162242616,1.175751896711889,0.8012660230678718,0.3071639978839011,0.3082171665225127,0.3846719468102363,0.5063097356674933,0.1702017695784614,0.6310642534894103,0.5474614143561468,0.1702017695784614,0.5551650823329387,-0.07750794892633522,141.16058655810872,wide,박나래,1200,825,13.939348716693583
0.362317826481229,0.23769801543270158,0.19060010832330598,0.13243871318967582,0.041776124053823825,0.061302509922896264,1.5242778776325565,1.2288939709988487,0.8018582232432218,0.29636933000115606,0.3113737751084944,0.3932508862668694,0.5115944347883349,0.17575293583236382,0.6261052874108579,0.5571721452894192,0.17575293583236382,0.5549826213297006,-0.09688155626571332,142.54933034703038,wide,이국주,1038,797,4.156422749927454
0.49919664131890323,0.47109011652820154,0.3835786851475771,0.2706707102569267,0.08854632141455755,0.11731532932002922,1.0596627350152,1.1334773473386708,0.814236324834071,0.26656197515333546,0.29847546326834806,0.4351413797991219,0.5255864294028297,0.18796047360772167,0.6262758512263494,0.5745624897666965,0.18796047360772167,0.5511961073160959,-0.1685794046457864,137.62326809613768,wide,이수지,1816,1850,15.890129293835681
0.25709062187673176,0.2983953439805507,0.2404503132519742,0.1633040759452248,0.05141020363319105,0.07673011374760741,0.8615771896678417,1.2062080655349783,0.8058112102032218,0.3040703061294052,0.3219644332924361,0.3747248277063712,0.5084581043374206,0.17228889347731227,0.6335223167259095,0.5472742093317278,0.17228889347731227,0.5537677440198537,-0.070654521576966,140.9439667862423,wide,홍윤화,900,1200,8.91637724998284
0.43564655933079915,0.44256446517133996,0.346698416413246,0.2394078479401548,0.07704389906519066,0.10745217963364244,0.9843685917307832,1.291983776646653,0.783385119451515,0.3174577580468154,0.31838252037093046,0.3656754484283432,0.49947538012859605,0.17408514494123,0.609299974510285,0.5409558759930431,0.17408514494123,0.56073138050381,-0.04821769038152779,142.09457155335684,long,긴얼굴남자1,800,1000,-14.481554497899083
0.44338409945014245,0.33709975570850775,0.2565363917587569,0.177182601942672,0.0573274518941858,0.08440086496575129,1.3152904798707106,1.2533074160068034,0.7610103164256978,0.3142431189861624,0.30030492220088933,0.3854557434835939,0.4855599737467877,0.1700607933509071,0.5909495230747907,0.5256088114637582,0.1700607933509071,0.5678558442688106,-0.07121262449743149,144.582750279302,long,긴얼굴여자1,800,726,-11.427599764618297
0.511934663265184,0.23328658656139,0.17377474603761067,0.11890163642582469,0.03827256255457814,0.05626086408867121,2.1944453421477235,1.2960942802059991,0.7448981469488876,0.31787170846612134,0.28347681597513746,0.3987256619266838,0.4728789453009313,0.16405813604078182,0.5808400109081058,0.5096805529131243,0.16405813604078182,0.5730993535345261,-0.08085395346056246,155.1767063387527,long,긴얼굴여자2,1280,720,-13.801672628982661
0.43703493257942894,0.2322203476238246,0.17796613791882054,0.11985247798946758,0.03836426922697312,0.05676708973041851,1.8819838013824048,1.3173886609676833,0.7663675459099267,0.32345978339135234,0.28766501072069883,0.38891491749164186,0.4825630607240417,0.16520632071880142,0.6011612251911254,0.516115315543397,0.16520632071880142,0.5661335899855768,-0.06545513410028952,150.6033456949463,long,긴얼굴여자3,1200,800,-18.992218391651054
0.46455243743474234,0.3341889502407165,0.25486150507125893,0.1753554107128718,0.055289407087161235,0.08325506025897714,1.3900891609376222,1.284442384706363,0.7626269656363026,0.3194248252999217,0.3228916653296636,0.3576856921102456,0.4842632912923278,0.1654435523596344,0.5971834132766682,0.5247193558810463,0.1654435523596344,0.5673350172757644,-0.03826086681032387,147.0202656567406,long,얼굴긴여자4,575,506,-10.871694294693047
0.2538821221456769,0.24108407877245133,0.1855320357560214,0.12823369570320325,0.041298755465750195,0.063286142501839,1.053085394267388,1.27110253264815,0.769573987219359,0.2969800184023846,0.28811785505446114,0.4151136507653708,0.49092760325621304,0.17130436682519493,0.5982696203941641,0.5319044557240854,0.17130436682519493,0.5651077644802871,-0.11813363236298624,139.18927011624493,long,여배우1정면,1110,1276,-13.191909208722127
0.35588661985929637,0.32120736035288056,0.25013012025900744,0.1725970020567077,0.05533913083506128,0.09051010363665746,1.1079653326384455,1.2669624015411598,0.7787185199748001,0.31511445485003675,0.28155829886618616,0.40367137961646454,0.4961138422913365,0.17228475329539567,0.6064337666794044,0.5373382536038137,0.17228475329539567,0.5622025007161714,-0.08855692476642779,141.43030295815043,long,여배우4정면,1370,1492,-10.985074882604943
0.279560200349443,0.2472471079184857,0.19599540117137787,0.13198886268661794,0.04122221800155166,0.05928736870885259,1.1306914879732812,1.269370946583059,0.7927105915268992,0.31824602313742084,0.3116593366725738,0.37033988775217946,0.49775638761805097,0.16672477323836732,0.6259858182885318,0.5338337980888862,0.16672477323836732,0.5578145210534364,-0.05209386461475862,142.63859112148407,long,여배우5정면,1532,1638,-3.5155679147063985
0.5825515428027516,0.31269416466814937,0.23599492757446272,0.16275529513041676,0.053248646640938334,0.08787926440958353,1.8630074002851693,1.3037791539045687,0.7547148435754,0.31135530219422847,0.2767751772033653,0.4118742252116388,0.4818327516339672,0.1702898635714841,0.5844249800039159,0.5204935477550177,0.1702898635714841,0.5698931673492907,-0.10051892301741033,149.04421977451779,long,태연정면,2000,1333,-20.055978607584084
0.34929238008799374,0.34093133220099175,0.2680088728209617,0.1879046289100542,0.06044739103766256,0.09020834795108675,1.0245241404860754,1.186169512262611,0.7861080737013647,0.2977350446474458,0.2784294217465042,0.4238385704703384,0.5048532690685295,0.17730077974184713,0.6088072939595176,0.5511509537623763,0.17730077974184713,0.5598765353138417,-0.12610352582289258,139.35608215336646,standard,개발1정면,1286,1418,1.3185086889778823
0.35646596202235986,0.28815359581985256,0.22229941663894406,0.1552948548947067,0.04979034115627198,0.06790342130748311,1.2370692824711955,1.2534190834974868,0.7714615394836887,0.29678861816965485,0.30211006791989237,0.4012630335538581,0.494394446676874,0.17279097633541188,0.5986705631482768,0.5389308242115213,0.17279097633541188,0.5645056230187536,-0.10447441538420327,138.58369884194747,standard,배우1정면,1256,1212,-9.52326561899331
0.34309770962583797,0.35873852418919905,0.27491717431808754,0.18999551790387384,0.06163628483813759,0.09267043394734359,0.9564005159504082,1.2212208796335222,0.7663441637316207,0.30376362467770346,0.28527272399869485,0.4111306032850104,0.4892597640116626,0.17181395551939815,0.5945302082122226,0.529621172783969,0.17181395551939815,0.5661410842422556,-0.10736697860730693,141.43250519635907,standard,배우2정면,1268,1542,-7.67445868146088
0.41162243012018646,0.43700869428671285,0.3347315408753258,0.2340367834897326,0.07598567409880333,0.10465106880985026,0.9419090180620733,1.2494423124593403,0.7659608269846343,0.2912092760658896,0.28525366318156226,0.4235537288921591,0.4917934180663015,0.17387680174836662,0.5920840252362676,0.5355426254659036,0.17387680174836662,0.566263976368883,-0.1323444528262695,141.34622543543293,standard,배우3정면,1200,1516,-11.613500630737125
